Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 1, estrofe 30, verso 7;Que esquecerão seus feitos no Oriente,;Que esqueceram seus feitos no Oriente,
Canto 1, estrofe 31, verso 2;Hũa gente fortissimo de Hespanha,;Hũa gente fortissima de Hespanha
Canto 1, estrofe 31, verso 4;Da India, tudo quanto Doris banha:;Da India, tudo quanto Doris banha,
Canto 1, estrofe 31, verso 5;E com nouas victorias venceria,;E com nouas victorias venceria
Canto 1, estrofe 32, verso 4;De quantos bebem a agoa de Parnaso.;De quantos bebem a agoa de Parnaso:
Canto 1, estrofe 32, verso 5;Teme agora que seja sepultado,;Teme agora que seja sepultado
Canto 1, estrofe 32, verso 7;Dagoa do esquecimento, se la chegão;Dagoa do esquecimento, se la chegam
Canto 1, estrofe 32, verso 8;Os fortes Portugueses, que nauegão,;Os fortes Portugueses, que nauegam.
Canto 1, estrofe 33, verso 1;Sustentaua contra elle Venus bella;Sustentaua contra elle Venus bella,
Canto 1, estrofe 33, verso 6;Que mostràrão na terra Tingitana:;Que mostráram na terra Tingitana:
Canto 1, estrofe 33, verso 8;Com pouca corrupção cre que he a Latina.;Com pouca corrupçam cre que he a Latina.
Canto 1, estrofe 34, verso 1;Estas causas mouião Cyterea,;Estas causas mouiam Cyterea,
Canto 1, estrofe 34, verso 5;Assi que hum pela infamia que arrecea,;Assi que hum pela infamia que arrecea
Canto 1, estrofe 34, verso 6;E o outro polas honras que pretende,;E o outro pelas honras que pretende,
Canto 1, estrofe 34, verso 8;A qualquer seus amigos fauorecem:;A qualquer seus amigos fauorecem.
Canto 1, estrofe 35, verso 4;Com impito & braueza desmedida.;Com impito & braueza desmedida:
Canto 1, estrofe 35, verso 6;Rompense as folhas, ferue a serra erguida.;Rompense as folhas, ferue a serra erguida,
Canto 1, estrofe 35, verso 8;Entre os Deoses no Olimpo consagrado.;Entre os Deoses no Olimpo consagrado,
Canto 1, estrofe 36, verso 1;Mas Marte que da Deosa sustentaua,;Mas Marte que da Deosa sustentaua
Canto 1, estrofe 36, verso 3;Ou porque o amor antiguo o obrigaua,;Ou porque o amor antigo o obrigaua,
Canto 1, estrofe 36, verso 8;Deitando pera tràs medonho & irado.;Deitando pera tras medonho, & yrado.
Canto 1, estrofe 38, verso 1;E disse assi, ò padre a cujo imperio,;E disse assi, ò Padre a cujo imperio,
Canto 1, estrofe 38, verso 5;Não queres que padeção vituperio,;Nam queiras que padeçam vituperio,
Canto 1, estrofe 38, verso 6;Como ha ja tanto tempo que ordenaste;Como ha ja tanto tempo que ordenaste.
Canto 1, estrofe 38, verso 7;Não ouças mais, pois es juyz direito,;Nam ouças mais, pois es juiz direito,
Canto 1, estrofe 39, verso 1;Que se aqui a razão se não mostrasse;Que se aqui a razam se nam mostrasse,
Canto 1, estrofe 39, verso 5;Mas esta tenção sua, agora passe,;Mas esta tençam sua, agora passe,
Canto 1, estrofe 39, verso 8;O bem que outrem mereçe, & o ceo deseja.;O bem que outrem merece, & o ceo deseja.
Canto 1, estrofe 40, verso 1;E tu padre de grande fortaleza,;E tu Padre de grande fortaleza,
Canto 1, estrofe 40, verso 3;Nam tornes por detras pois he fraqueza;Nam tornes por detras, pois he fraqueza
Canto 1, estrofe 42, verso 2;Casa Eterea do Olimpo omnipotente;Casa Eterea do Olimpo omnipotente,
Canto 1, estrofe 42, verso 8;Co temor grande em pexes conuerteô.;Co temor grande em peixes conuerteo.
Canto 1, estrofe 43, verso 1;Tam brandamente os ventos os leuauão,;Tam brandamente os ventos os leuauam,
Canto 1, estrofe 43, verso 3;Sereno o ar, & os tempos se mostrauão;Sereno o ar, & os tempos se mostrauam
Canto 1, estrofe 43, verso 4;Sem nuuẽs, sem receio de perigo:;Sem nuuẽs, sem receyo de perigo:
Canto 1, estrofe 43, verso 5;O promontorio prasso ja passauão;O promontorio prasso ja passauam,
Canto 1, estrofe 43, verso 6;Na costa de Ethiopia, nome antiguo.;Na costa de Ethiopia, nome antigo:
Canto 1, estrofe 44, verso 1;Vasco da gama, o forte Capitão,;Vasco da Gama, o forte Capitão,
Canto 1, estrofe 44, verso 3;De soberbo, & de altiuo coração,;De soberbo, & de altiuo coraçam,
Canto 1, estrofe 44, verso 4;A quem fortuna sempre fauorece;A quem fortuna sempre fauorece,
Canto 1, estrofe 44, verso 5;Pera se aqui deter, não ve razão,;Pera se aqui deter nam ve razam,
Canto 1, estrofe 44, verso 8;Mas nam lhe soccedeo como cuydaua.;Mas nam lhe soccedeo como cuidaua.
Canto 1, estrofe 45, verso 6;Não sabe mais que olhar a causa della.;Nam sabe mais que olhar a causa della:
Canto 1, estrofe 45, verso 7;Que gente sera esta, em si dezião,;Que gente sera esta, em si deziam,
Canto 1, estrofe 45, verso 8;Que costumes, que ley, que Rei terião?;Que costumes, que ley, que Rei teriam?
Canto 1, estrofe 46, verso 1;As embarcações erão, na maneira;As embarcações eram, na maneira
Canto 1, estrofe 46, verso 3;As vellas com que vem erão de esteira,;As vellas com que vem eram de esteira,
Canto 1, estrofe 46, verso 7;Ao mundo deu, de ousado, & não prudente,;Ao mundo deu, de ousado, & nam prudente,
Canto 1, estrofe 47, verso 1;De panos de algodão vinhão vestidos,;De panos de algodam vinham vestidos,
Canto 1, estrofe 47, verso 4;Outros em modo ayroso sobraçados,;Outros em modo ayroso sobraçados:
Canto 1, estrofe 47, verso 5;Das cintas pera cima vem despidos:;Da cinta pera cima vem despidos,
Canto 1, estrofe 47, verso 6;Por armas tem adagas, & tarçados.;Por armas tem adagas & tarçados:
Canto 1, estrofe 48, verso 1;Cos panos, & cos braços açenauão,;Cos panos, & cos braços acenauam,
Canto 1, estrofe 48, verso 3;Mas ja as proas ligeiras, se inclinauão,;Mas ja as proas ligeiras se inclinauam
Canto 1, estrofe 48, verso 5;A gente, & marinheiros trabalhauão,;A gente, & marinheiros trabalhauam,
Canto 1, estrofe 49, verso 1;Não erão ancorados, quando a gente;Nam erão ancorados, quando a gente
Canto 1, estrofe 49, verso 2;Estranha, polas cordas ja subia,;Estranha, polas cordas ja sobia,
Canto 1, estrofe 49, verso 8;Os de Phaeton queimados nada engeitão.;Os de Phaetom queimados nada engeitam.
Canto 1, estrofe 50, verso 1;Comendo alegremente perguntauão,;Comendo alegremente perguntauam,
Canto 1, estrofe 50, verso 2;Pela Arabica lingoa, donde vinhão,;Pela Arabica lingoa, donde vinham,
Canto 1, estrofe 50, verso 3;Quem erão, de que terra, que buscauão,;Quem eram, de que terra, que buscauão,
Canto 1, estrofe 50, verso 4;Ou que partes do mar corrido tinhão?;Ou que partes do mar corrido tinham?
Canto 1, estrofe 50, verso 5;Os fortes Lusitanos lhe tornauão,;Os fortes Lusitanos lhe tornauam,
Canto 1, estrofe 50, verso 6;As discretas repostas que conuinhão.;As discretas repostas que conuinham:
Canto 1, estrofe 50, verso 8;Himos buscando as terras do Oriente.;Himos buscando as terras do Oriente:
Canto 1, estrofe 51, verso 3;Toda a costa Affricana rodeado,;Toda a costa Africana rodeado,
Canto 1, estrofe 52, verso 5;Mas ja razão parece que saibamos,;Mas ja razam parece que saibamos,
Canto 1, estrofe 52, verso 6;Se entre vos a verdade não se nega.;Se entre vòs a verdade nam se nega:
Canto 1, estrofe 52, verso 7;Quem sois, que terra he esta que abitais?;Quem sois, que terra he esta que habitais?
