Canto, Estrofe e Verso;Versão 1;Versão 2
Canto 3, estrofe 48, verso 5;Leuantão nisto os perros o alarido;Leuantam nisto os perros o larido
Canto 3, estrofe 48, verso 8;Instromentos de guerra tudo atroão.;Instrumentos de guerra tudo atroão.
Canto 3, estrofe 49, verso 5;A pastoral companha, que deitada,;A pastoral companha, que deitada
Canto 3, estrofe 50, verso 1;Desta arte o Mouro atonito & toruado,;Desta vrte o Mouro atonito & toruado,
Canto 3, estrofe 50, verso 2;Toma sem tento as armas muy depressa,;Toma sem tento as armas muy de pressa
Canto 3, estrofe 50, verso 3;Não foge: mas espera confiado,;Nam foge: mas espera confiado,
Canto 3, estrofe 50, verso 7;Hũs caem meios mortos, & outros vão;Hūs caem meios mortos, & outros vão
Canto 3, estrofe 50, verso 8;A ajuda conuocando do Alcorão.;A ajuda convocando do Alcorão.
Canto 3, estrofe 51, verso 3;E os animais correndo furiosos,;E os animais torrendos furiosos,
Canto 3, estrofe 51, verso 4;Que Neptuno amostrou ferindo a terra:;Que Neptuno amostrou, ferindo a terra:
Canto 3, estrofe 51, verso 8;Rompe, corta, desfaz, a bola & talha.;Rompe, corta, de faz, abola & talha.
Canto 3, estrofe 52, verso 1;Cabeças pelo campo vão saltando,;Cabeças pelo campo vam saltando,
Canto 3, estrofe 52, verso 4;Palida a cor, o gesto amortecido:;Palida a cor, o gesto amortecido.
Canto 3, estrofe 52, verso 5;Ia perde o campo o exercito nefando,;Ia perde o campo o exercito nefando
Canto 3, estrofe 52, verso 6;Correm rios do sangue desparzido;Correm rios de sangue desparzidos
Canto 3, estrofe 52, verso 7;Com que tambem do campo a cor se perde;Com que tambem do campo a cor sa perde,
Canto 3, estrofe 52, verso 8;Tornado Carmesi de branco & verde.;Tornando carmesi de branco & verdes.
Canto 3, estrofe 53, verso 1;Ia fica vencedor o Lusitano;la fica vencedor o Lusitano
Canto 3, estrofe 53, verso 2;Recolhendo os trofeos & presa rica,;Recolhendo os trofeos, & tresa riça,
Canto 3, estrofe 53, verso 3;Desbaratado & roto o Mauro Hispano,;Desbaratado & reto q Matro Hishano,
Canto 3, estrofe 53, verso 5;Aqui pinta no branco escudo vfano,;Aqui pinta no branco escudo ufano,
Canto 3, estrofe 53, verso 6;Que agora esta victoria certifica:;Que agura, esta victoria certifica:
Canto 3, estrofe 53, verso 7;Cinco escudos azues esclarecidos,;Cinco escudes azues esclarecidos,
Canto 3, estrofe 53, verso 8;Em sinal destes cinco Reis vencidos.;Em sinal, destes cinco sReis ven idlos.
Canto 3, estrofe 54, verso 1;E nestes cinco escudos pinta os trinta,;E nestes cinco escudos ponta os trinta
Canto 3, estrofe 54, verso 2;Dinheiros, por que Deos fora vendido,;Dinheiros, porque Deos fora vendido,
Canto 3, estrofe 54, verso 5;Em cada hum das cinco, cinco pinta,;Em cada hum dos cinco, cinco pinta,
Canto 3, estrofe 54, verso 6;Por que assi fica o numero comprido:;Poruqe assi fica o numero comprido:
Canto 3, estrofe 55, verso 2;Era esta grão victoria, o Rei subido;Era esta gram victoria, o Rei sobido
Canto 3, estrofe 55, verso 5;Com essa a forte Arronches sojugada;Com esta a forte Arronches sojugada
Canto 3, estrofe 56, verso 3;E nas serras da Lua conhecidas,;E nas serras da Lũa conhecidas,
Canto 3, estrofe 56, verso 6;Nas fontes, vão fugindo do doçe laço:;Nas fontes, vão fugindo ao doçe laço:
Canto 3, estrofe 57, verso 1;E tu nobre Lisboa, que no Mundo,;E tu nobre Lixboa, que no Mundo,
Canto 3, estrofe 57, verso 3;Que edificada foste do facundo,;Que adificada foste do facundo,
Canto 3, estrofe 57, verso 5;Tu a quem obedece o Mar profundo,;Tua quem obedece o Mar profundo,
Canto 3, estrofe 57, verso 6;Obedeceste aa força Portuguesa.;Obedeceste aa força Portuguesa:
Canto 3, estrofe 58, verso 2;E da fria Bretanha conduzidos,;Eda fria Bretanha conduzidos,
Canto 3, estrofe 58, verso 3;A destruir o pouo Sarraceno,;A destuir o pouo Sarraceno,
Canto 3, estrofe 58, verso 4;Muitos com tenção sancta erão partidos,;Muitos com tençam Sancta erão partidos,
Canto 3, estrofe 58, verso 5;Entrando a boca ja, do Tejo ameno,;Entrando a boca ha, do Tejo ameno,
Canto 3, estrofe 58, verso 6;Co arrayal do grande Affonso vnidos.;Co arrayal dp grande Affonso unidos:
Canto 3, estrofe 58, verso 7;Cuja alta fama antão subia aos ceos,;Cuja alta fama antam subia aos ceos,
Canto 3, estrofe 58, verso 8;Foy posto cerco aos muros Vlisseos.;Foy posto cerco aos muros Ulysseos.
Canto 3, estrofe 59, verso 1;Cinco vezes a Lũa se escondêra,;Cinco vezes a Lũa se escondèra,
Canto 3, estrofe 59, verso 2;E outras tantas mostrâra cheio o rosto,;E outras tantas mostràra cheio o rosto,
Canto 3, estrofe 59, verso 3;Quando a Cidade entrada se rendêra,;Quando a Cidade entrada se rendéra,
Canto 3, estrofe 59, verso 4;Ao duro cerco, que lhe estaua posto.;Ao duro cerco, que ll e estaua posto.
Canto 3, estrofe 59, verso 6;Quanto obrigaua o firme prosuposto:;Quanto obrigaua o firme presuposto:
Canto 3, estrofe 60, verso 1;Desta arte em fim tomada se rendeo,;Deste arte em fim tomada se rendeo,
Canto 3, estrofe 60, verso 6;que o Ibero o vio, & o Tejo amedrontados.;Que Ibero o vio, & o Tejo amedrontados,
Canto 3, estrofe 60, verso 7;Em fim co Betis tanto algum podêraõ,;E em fim co Betis tanto algum podèram,
Canto 3, estrofe 60, verso 8;Que aa terra de Vandalia nome dêrão.;Que aa terra de Vandalia nome dèram.
Canto 3, estrofe 61, verso 3;Não pode resistir aa força dura;Nam pode resistir aa força dura
Canto 3, estrofe 61, verso 7;O tom das frescas agoas, entre as pedras,;O tom das frecas agoas, entre as pedras,
Canto 3, estrofe 62, verso 1;E vos tambem, o terras transtaganas,;E vos tàmbem, o terras transtaganas,
Canto 3, estrofe 62, verso 2;Affamadas co dom da flaua Ceres,;Affamdas co dom da flaua Ceres,
Canto 3, estrofe 62, verso 4;Entregando lhe os muros, & os poderes.;Entregandolhe os muros & os poderes.
Canto 3, estrofe 62, verso 7;Que Eluas, e Moura, & Serpa conhecidas,;Que Elvas, & Moura, & Serpa conhecidas
Canto 3, estrofe 62, verso 8;E Alcaçare do sal, estaõ rendidas.;E Alcaçare do sal, estam rendidas.
Canto 3, estrofe 63, verso 3;Onde ora as agoas nitidas de argento,;Onde ora as agoas nitidas de argenta,
Canto 3, estrofe 63, verso 4;Vem sustentar de longo a terra, & a gente,;Vem sostentar de longo a terra & a gente,
Canto 3, estrofe 63, verso 6;Nos ares se aleuantão nobremente.;Mos ares se aleuantam nobremente.
Canto 3, estrofe 63, verso 7;Obedeceo, por meio e ousadia;Obedeceoo, por meio & ousadias
Canto 3, estrofe 63, verso 8;De Giraldo, que medos não temia.;De Giraldo, que medos nam temia.
Canto 3, estrofe 64, verso 3;Affonso que naõ sabe sosegar,;Affonso que nam sabe sossegar,
Canto 3, estrofe 64, verso 5;Não se lhe pode muito sustentar;Nam selhe pode muito sostentar
Canto 3, estrofe 65, verso 1;Com estas sojugada foy Palmella,;Com estas sujugada foy Polmella,
Canto 3, estrofe 65, verso 2;E a piscosa Cizimbra, e juntamente,;E a piscosa Cizimbra, & juntamente
Canto 3, estrofe 65, verso 3;Sendo ajudado mais de sua estrella,;Sendo ajudado mais de sua estrella
Canto 3, estrofe 65, verso 5;Sentio o a Villa, e vio o a serra della,;Sentio o a Villa, & vio o a serra della,
Canto 3, estrofe 65, verso 6;Que a socorrella vinha deligente.;Que a socorrela vinha diligente.
Canto 3, estrofe 65, verso 7;Pela fralda da serra descuydodo,;Pela fralda da serra descuydado,
Canto 3, estrofe 66, verso 3;Innumeros pioes, darmas e de curo;Innumeros piões, darmas & de ouro
Canto 3, estrofe 66, verso 6;Cos cumes da vaca, arreceosos,;Cos ciumes da vaca, arreceosos,
Canto 3, estrofe 66, verso 7;Sentindo gente o bruto, & cego amante;Sentindo gente o bruto & cego amante
Canto 3, estrofe 67, verso 1;Desta arte Affonso subito mostrado,;Desta arte Affonso subito mostrado
Canto 3, estrofe 67, verso 2;Na gente da, que pasa bem segura,;Na gente, que passa bem segura,
Canto 3, estrofe 67, verso 6;So de seguillo o exercico procura.;So de seguillo o exercito procura.
Canto 3, estrofe 67, verso 7;Sendo estes que fizerão tanto aballo,;Sendo estes que fizeram tanto aballo,
Canto 3, estrofe 68, verso 2;O grão Rei incansabil, ajuntando;O gram Rei incar sabil, ajuntando
Canto 3, estrofe 68, verso 3;Gentes de todo o Reino, cuja vsança;Gentes de todo o Reino, cuja usença
Canto 3, estrofe 68, verso 7;Com tanto esforço e arte, & valentia,;Com tanto esforço & arte, & valentia,
Canto 3, estrofe 68, verso 8;Que a fez fazer aas outras companhia.;Que a faz fazer aas outras companhia.
Canto 3, estrofe 69, verso 2;O castigo daquelle que o mereçe,;O castigo daquelle que o merece,
Canto 3, estrofe 69, verso 4;Ou por segredos que homem naõ conheçe,;Ou por segredos que homem nam conhece
Canto 3, estrofe 69, verso 5;Se ate que sempre o forte Rei resguarda,;Se ate qui sempre o forte Rei resguarda,
Canto 3, estrofe 69, verso 6;Dos perigos a que elle se offereçe.;Dos perigos a que elle se offerece.
Canto 3, estrofe 69, verso 7;Agora lhe naõ deixa ter defesa,;Agora lhe nam deixa ter defesa,
Canto 3, estrofe 69, verso 8;Da maldiçaõ da mãy que estaua presa.;Da maldiçam da mãy que estaua presa.
Canto 3, estrofe 70, verso 1;Que estando na cidade que cercâra,;Que estando na cidade que cercára,
Canto 3, estrofe 70, verso 3;Por que a conquista della lhe tomâra,;Poruqe a conquista della lhe tomára,
Canto 3, estrofe 70, verso 4;De Lião sendo, & não dos Portugueses.;De Lião sendo, & nam dos Portugueses:
Canto 3, estrofe 70, verso 7;Que em ferros quebra as pernas, indo aceso;Que em ferros quebra as pernas, indo aceso,
Canto 3, estrofe 71, verso 1;O famoso Pompeyo não te pene,;O famoso pompeyo nam te pene,
Canto 3, estrofe 71, verso 3;Nem ver que a justa Nemesis ordene,;Nem ver que a justa Nemefis ordene,
Canto 3, estrofe 71, verso 5;Posto que o frio Fasis, ou Syene;Posto que frio Fasis, ou Syene
Canto 3, estrofe 71, verso 6;Que per a nenhum cabo a sombra inclina:;Que pera nenhum cabo a sombra a inclina:
Canto 3, estrofe 72, verso 2;Eniocos, & Colcos, cuja fama;Eniocos: & Colcos, cuja fama
Canto 3, estrofe 72, verso 3;O Veo dourado estende: & os Capadoçes,;O veo dourado estende: & os Capadoces,
Canto 3, estrofe 72, verso 4;E Iudea, que hum Deos adora & ama,;E ludea, que hum Deos adora & ama,
Canto 3, estrofe 72, verso 5;E que o molles Sofenos, & os Atroces,;E que o molles Sofenes, & os Altroces,
Canto 3, estrofe 72, verso 8;Estâ noutro o mais alto & sancto Monte.;Está noutro mais alto & Sancto Monte.
Canto 3, estrofe 73, verso 3;Ia vencedor te vissem, não te espante;Ia vencedor te vissem, nam te espante
Canto 3, estrofe 73, verso 5;Porque Affonso veras soberbo & ouante,;Porque Affonso veras soberdo & ouante
Canto 3, estrofe 74, verso 2;Do diuino juyzo castigado,;So diuino juyzo castigado,
Canto 3, estrofe 74, verso 5;E despois que do martyre Vicente,;E despois que do Martyre Vicente,
Canto 3, estrofe 74, verso 6;O sanctissimo corpo venerado.;O fanctissimo corpo venerado.
Canto 3, estrofe 74, verso 7;Do sacro promontorio conhecido,;Do Sacro promontorío conhecido
Canto 3, estrofe 74, verso 8;Aa cidade Vlissea foy trazido.;Aa cidade Vlyssea foy trazido.
Canto 3, estrofe 75, verso 2;Ao forte filho manda o lasso velho,;ao forte filho manda o lasso velho,
Canto 3, estrofe 75, verso 3;Que aas terras se passasse dalentejo,;Que as terras se passasse dalentejo,
Canto 3, estrofe 75, verso 8;Co sangue mauro, barbaro & nefando.;Co sangue maouro, barbaro & nefando.
Canto 3, estrofe 76, verso 2;Ia não descansa o moço ate que veja,;Ia nam descansa o moço ate que veja,
Canto 3, estrofe 76, verso 4;No barbaro que tem cercado Beja.;No barbaro que tem carcado Beja.
Canto 3, estrofe 76, verso 5;Não tarda muito o Principe ditoso,;Nam tarda muito o Princepe ditoso,
Canto 3, estrofe 77, verso 1;Ia se ajuntão do monte, a quem Medusa;Ia se ajuntam do monte, a quem Medusa
Canto 3, estrofe 77, verso 2;O corpo fez perder, que teve o Ceo:;O corpo fez perder, que teue o Ceo:
Canto 3, estrofe 77, verso 5;O morador de Abila não se escusa,;O morador de Abila nam se escusa,
Canto 3, estrofe 78, verso 2;O Miralmomini em Portugal;O Miralmomini em Portugal,
Canto 3, estrofe 78, verso 8;Porem não lhe socede muito bem.;Porem nam lhe soccede muito bem,
Canto 3, estrofe 79, verso 3;Não lhe aproveita ja trabuco horrendo,;Nam lhe aproueita ja trabuco horrendo,
Canto 3, estrofe 79, verso 5;Porque o filho de Affonso, não perdendo;Porque o filho de Affonso, nam perdendo
Canto 3, estrofe 79, verso 7;Tudo prouê com animo & prudencia,;Tudo prouè com animo & prudencia,
Canto 3, estrofe 79, verso 8;Que em toda a parte ha esforço & resistencia;Que em toda a parte ha esfforço & resistẽcia
Canto 3, estrofe 80, verso 1;Mas o velho a quem tinhão ja obrigado;Mas o velho a quem tinham ja obrigado
Canto 3, estrofe 80, verso 2;Os trabalhosos annos, ao sosego,;Os trabalhosos annos ao sossego,
Canto 3, estrofe 80, verso 3;Estando na Cidade, cujo prado;Estando na cidade, cujo prado
Canto 3, estrofe 80, verso 8;Que não perde a presteza co a idade.;Que nam perde a presteza co a idade.
Canto 3, estrofe 81, verso 1;E co a famosa gente â guerra vsada,;E co a famosa gente à guerra vsada,
Canto 3, estrofe 81, verso 2;vay socorrer o filho, & assi ajuntados,;Vay socorrer o filho, & assi ajuntados,
Canto 3, estrofe 81, verso 8;De seus senhores mortos chea fica.;De seus senhores martos chea fica.
Canto 3, estrofe 82, verso 1;Logo todo o restante se partio;Logo todo o restane se partio,
Canto 3, estrofe 82, verso 2;De Lusitania, postos em fugida,;De Lusitana, postos em fugida,
Canto 3, estrofe 82, verso 3;O Miralmomini so não fogio,;O Miralmomini so nam fogio,
Canto 3, estrofe 82, verso 6;Dão louuores & graças sem medida:;Dão louuores graças sem medida:
Canto 3, estrofe 82, verso 7;Que em casos tão estranhos claramente,;Que em casos tam estranhos claramente,
Canto 3, estrofe 83, verso 2;O velho Affonso, Principe subido,;O velho Affonso, Principe sobido,
Canto 3, estrofe 83, verso 3;Quando quem tudo em fim vencendo andaua,;Quando quem tudo em fim vencẽdo andaua,
Canto 3, estrofe 83, verso 4;Da larga, & muita idade foi vencido,;Da larga, & muita idade foy vencido,
Canto 3, estrofe 83, verso 5;A palida doença lhe tocaua,;A palida doemça lhe tocaua,
Canto 3, estrofe 84, verso 1;Os altos promontorios o chorarão,;Os altos promontorios o chorão,
Canto 3, estrofe 84, verso 2;E do rios as agoas saudosas,;E dos rios as agoas saudosas,
Canto 3, estrofe 84, verso 8;Affonso, Affonso os eccos, mas em vão:;Affonso, Affonso os eccos, mas em vão.
Canto 3, estrofe 85, verso 1;Sancho forte mancebo, que ficàra;Sancho forte mancebo, que ficára
Canto 3, estrofe 85, verso 3;E que em sua vida ja se exprimentâra,;E que em sua vida ja se exprimentára,
Canto 3, estrofe 85, verso 5;E o barbaro poder desbaratâra,;E o barbaro poder desbaratára,
Canto 3, estrofe 85, verso 7;E mais quando os que Beja em vão cercârão,;E mais quando os que Beja em vão cercàrão
Canto 3, estrofe 85, verso 8;Os golpes de seu braço em si prouârão.;Os golpes de seu braço em si prouàrão.
Canto 3, estrofe 86, verso 6;Da Germanica armada, que passaua:;Da Germanica armada que passaua:
Canto 3, estrofe 87, verso 1;Passauão a ajudar na sancta empresa,;Passauam a ajudar na Sancta empresa,
Canto 3, estrofe 87, verso 3;O poderoso exercito, em defesa;O podereso exercito, em defesa
Canto 3, estrofe 87, verso 7;No lugar onde aos Mouros sobejauão,;No lugar onde aos Mouroa sobejauam,
Canto 3, estrofe 87, verso 8;As agoas que os de guido desejauão.;As agoas que os de guido desejauam.
Canto 3, estrofe 88, verso 4;Ia que em serviço vay, do sancto Marte;Ia que em seruiço vay, do Sancto marte
Canto 3, estrofe 88, verso 6;Quando tomou Lisboa, da mesma arte,;Quando tomou Lixboa, da mesma arte,
Canto 3, estrofe 89, verso 3;Liones, não consente estar quieta;Liones, nam consente estar quieta
Canto 3, estrofe 89, verso 6;Da soberba Tui, que a mesma sorte,;Da soberda Tui, que a mesma forte,
Canto 3, estrofe 89, verso 7;Vio ter a muitas villas suas vizinhas,;Vio ter a muitas villas suas vizinhas
Canto 3, estrofe 90, verso 6;Alcaçere do sal por derradeiro:;Alcacere do sal por derradeiro:
Canto 3, estrofe 90, verso 7;Porque dantes os Mouros o tomarão,;Porque dantes os Mouros o tomáram,
Canto 3, estrofe 90, verso 8;Mas agora estruidos o pagarão.;Mas agora estruidos o pagàram.
Canto 3, estrofe 91, verso 1;Morto despois Affonso lhe sucede;Morto despois Affonso lhe succede
Canto 3, estrofe 92, verso 1;Não era Sancho não tam desonesto,;Nam era Sancho nam tam desonesto,
Canto 3, estrofe 92, verso 8;Nem como o mole Rei Sardanapâlo.;Nem como o mole Rei Sardanapàlo.
Canto 3, estrofe 93, verso 7;A Rei não obedece, nem consente,;A Rei nam obedece, nem consente,
Canto 3, estrofe 93, verso 8;Que não for mais que todos excellente.;Que nam for mais que tudo excellente.
Canto 3, estrofe 94, verso 4;Seu yrmão Sancho, sempre ao ocio dado;Seu yrmão Sanicho, sempre ao ocio dado
Canto 3, estrofe 94, verso 8;Não cabe o altiuo peito tam pequeno.;Nam cabe o altiuo peito tam pequeno.
Canto 3, estrofe 95, verso 3;Recupêra co braço, & deita fora;recupèra co braço, & deita fora
Canto 3, estrofe 95, verso 5;Este de todo fez livre & senhora;Este de todo fez liUre & senhora
Canto 3, estrofe 95, verso 7;E acabou de oprimir a nação forte,;E acabou de oprimir a naçam forte,
Canto 3, estrofe 96, verso 1;Eis despois vem Dinis, que bem pareçe,;Eis despois vem Dinis, que bem parece,
Canto 3, estrofe 96, verso 3;Com quem a fama grande se escureçe,;Com quem a fama grande se escure,
Canto 3, estrofe 96, verso 4;Da liberalidade Alexandrina.;Da liberdade Alexandrina.
Canto 3, estrofe 96, verso 5;Co este o Reino prospero floreçe,;Co este o Reino prospero florece,
Canto 3, estrofe 96, verso 6;(Alcançada ja a paz aurea divina);(Alcançada ja a paz aurea diuina)
Canto 3, estrofe 98, verso 8;Quarto Affonso: mas forte & excelẽte:;Quarto Affonso: mas forte & excellente.
Canto 3, estrofe 99, verso 1;Este sempre as soberbas Castelhanas,;Este sempre as soberdas Castelhanas,
Canto 3, estrofe 99, verso 3;Porque não he das forças Lusitanas,;Porque nam he das forças Lusitanas,
Canto 3, estrofe 99, verso 4;Temer poder maior, por mais pequeno;Temer poder maior, por mais pequeno:
Canto 3, estrofe 99, verso 5;Mas porem quando as gentes Mauritanas,;Mas porem quando as gentes Mauritanas
Canto 3, estrofe 99, verso 7;Entrarão pelas terras de Castella,;Entraram pelas terras de Castella,
Canto 3, estrofe 99, verso 8;Foy o soberbo Affonso a socorrella.;Foy o soberbo affonso a socorrella.
Canto 3, estrofe 100, verso 1;Nunca com Semirâmis, gente tanta;Nunca com Semiràmis, gente tanta
Canto 3, estrofe 100, verso 7;Co poder excessivo de Granada,;Co poder excessiuo de Granada
Canto 3, estrofe 100, verso 8;Foy nos campos Tartesios ajuntada.;Foy nos campos Tartefios ajuntada.
Canto 3, estrofe 101, verso 4;Ja perdido hũa vez, que a propria morte;Ia perdido hũa vez, que a propria morte
Canto 3, estrofe 101, verso 5;Pedindo ajuda ao forte Lusitano;Pedindo ajuda ao forte Lusitano,
Canto 3, estrofe 101, verso 6;Lhe mandaua a carissima consorte,;Lhe mandaua a carissima conforte,
Canto 3, estrofe 101, verso 8;Daquelle a cujo Reino foi mandada.;Daquelle a cuja Reino foy mandada.
Canto 3, estrofe 102, verso 1;Entrava a fermosissima Maria,;Entraua a fermosissima Maria,
Canto 3, estrofe 102, verso 6;Pelos eburneos hombros espalhados:;Pelos heburneos hombros espalhados:
Canto 3, estrofe 102, verso 7;Diante do Pay ledo, que a agasalha,;Diante do pay ledo, que a agasalha,
Canto 3, estrofe 102, verso 8;Estas palavras tais chorando espalha.;Estis palauras tais chorando espalha.
Canto 3, estrofe 103, verso 3;O grão Rei de Marrocos conduzio;O gram Rei de Marrocos conduzio
Canto 3, estrofe 103, verso 5;Poder tamanho junto não se vio,;Poder tamanho junto nam se vio,
Canto 3, estrofe 103, verso 7;Trazem, ferocidale, & furor tanto,;Trazem ferocidade, & furor tanto,
Canto 3, estrofe 104, verso 5;E se não for contigo socorrido,;E se nam for contigo socorrido,
Canto 3, estrofe 104, verso 8;Sem marido, sem Reino, & sem ventura.;Sem marido, sem Reino, & sim ventura.
Canto 3, estrofe 105, verso 6;De pay o verdadeiro amor assella.;De pay o verdadeiro amor assella:
Canto 3, estrofe 105, verso 7;Acude & corre pay, que se não corres,;Acude & corre pay, que se nam corres,
Canto 3, estrofe 105, verso 8;Pode ser que não aches quem socorres.;Pode ser que nam aches quem socorres.
Canto 3, estrofe 106, verso 3;A Iupiter seu pay fauor pedia,;A Iupiter seu pay fauor, pedia,
Canto 3, estrofe 106, verso 4;Pera Eneas seu filho, nauegando,;Pera Eneas seu filho, nauegando
Canto 3, estrofe 106, verso 6;Que caido das mãos o rayo infando:;Que caido das mãos o rayo infando.
Canto 3, estrofe 107, verso 1;Mas ja cos esquadrões da gente armada,;Mas ja cis esquadrões da gente armada,
Canto 3, estrofe 107, verso 4;Vão rinchando os cauallos jaezados:;Vam rinchando os cauallos jaezdos:
Canto 3, estrofe 107, verso 6;Os corações aa paz acostumados:;Os cirações aa pas acostumados:
Canto 3, estrofe 107, verso 7;Vay às fulgentes armas incitando;Vay as fulgentes armas incitando
Canto 3, estrofe 107, verso 8;Polas concauidades retumbando.;Pelas concauidades retumbando.
Canto 3, estrofe 108, verso 6;A qualquer coração amedrontado.;A qualquer coraçam amedrontado.
Canto 3, estrofe 109, verso 2;Nos campos de Tarifa, estão defronte;Nos campos de Tarifa, estam defronte
Canto 3, estrofe 109, verso 3;Da grande multidão da cega gente,;Da grande multidam da cega gente,
Canto 3, estrofe 109, verso 5;Não ha peito tão alto & tam potente,;Nam ha peito tam alto & tam potente,
Canto 3, estrofe 109, verso 6;Que de desconfiança não se afronte,;Que de desconfiança nam se afronte
Canto 3, estrofe 109, verso 7;Em quanto não conheça, & claro veja,;Em quanto nam conheça, & claro veja,
Canto 3, estrofe 110, verso 1;Estão de Agar os netos casi rindo,;Estam de Agar os netos casi rindo,
Canto 3, estrofe 110, verso 4;Ante mão, entre o exercito Agareno:;Ante mão, ante o exercito Agareno:
Canto 3, estrofe 110, verso 8;Aa nobre terra alhea chamão sua.;Aa nobre terra alhea chamam sua.
Canto 3, estrofe 111, verso 5;Com palauras soberbas o arrogante,;Com palavras soberbas & arrogante,
Canto 3, estrofe 111, verso 8;Quanto mais pode a Fê que a força humana.;Quanto mais pode a Fè que a força humana:
Canto 3, estrofe 112, verso 1;Desta arte o Mouro perfido despreza,;Desta arte o Mouro perfido despreza
Canto 3, estrofe 112, verso 2;O poder des Christãos, & não entende,;O poder dos Christãos, & nam entende,
Canto 3, estrofe 112, verso 3;Que està ajudado da alta fortaleza,;Que está ajudado da alta fortaleza,
Canto 3, estrofe 112, verso 4;A quem o Inferno horrifico se rende.;A quem o Inferno borrifico se rende.
Canto 3, estrofe 112, verso 5;Co ella o Castelhano, & com destreza,;Co ella o Castelbano, & com destreza
Canto 3, estrofe 113, verso 1;Eis as lanças & espadas retenião,;Eis as lanças & espadas reteniam.
Canto 3, estrofe 113, verso 3;Chamão (segundo as leis que ali seguião,);Chamão (segundo asleis que ali seguiam,)
Canto 3, estrofe 113, verso 4;Hũs Mafamede, & os outros Sanctiago,;Hūs Mafamede, & os outros Sanctiago,
Canto 3, estrofe 113, verso 5;Os feridos com grita o Ceo ferião,;Os feridos com grita ao Ceo feriam,
Canto 3, estrofe 113, verso 6;Fazendo de seu sangue bruto lago,;Fazendo de seu sangue bruto lago
Canto 3, estrofe 113, verso 7;Onde outros meios mortos se afogauão,;Onde outros meios mortos se afogauam.
Canto 3, estrofe 113, verso 8;Quando do ferro as vidas escapauão.;Quando do ferro as vidas escapauam.
Canto 3, estrofe 114, verso 6;Inda não bem contente o forte braço,;Inda nam bem contente o frote braço,
Canto 3, estrofe 115, verso 1;Ia se hia o Sol ardente recolhendo,;Ia se hia Sol ardente recolhendo,
Canto 3, estrofe 115, verso 2;Pera a casa de Thetis, & inclinado,;Pera a casa de Thetis, & incliado,
Canto 3, estrofe 115, verso 5;Quando o poder do Mauro grande & horẽdo;Quãdo o podeer do Mauro grande & horrẽdo
Canto 3, estrofe 116, verso 2;Dos que morrerão neste vencimento,;Dos que morreram neste vencimento,
Canto 3, estrofe 116, verso 3;Quando as agoas co sangue do aduersario,;Quando as agoas co sangue do aduersario
Canto 3, estrofe 117, verso 4;Do pouo pertinaz no antigo rito:;D pouo pertinaz no antigo rito:
Canto 3, estrofe 117, verso 6;E não força de braço, o nobre Tito,;E nam força de braço, o nobre Tito,
Canto 3, estrofe 117, verso 8;E despois por IESV certificado.;E despois de IESV certificado.
Canto 3, estrofe 118, verso 1;Passada esta tão prospera victoria,;Passada esta tam prospera victoria,
Canto 3, estrofe 118, verso 4;Quanta soube ganhar na dura guerra,;Quanta soube ganhar na dura guerra:
Canto 3, estrofe 119, verso 1;Tu so, tu puro Amor com força crua,;Tuso, tu puro amor com força crua,
Canto 3, estrofe 119, verso 2;Que os corações humanos tanto obriga,;Que os corações humanos tanto obriga
Canto 3, estrofe 119, verso 7;E por que queres aspero & tirano;E porque queres aspero & tirano
Canto 3, estrofe 119, verso 8;Tuas aras banhar em sangue humano.;Tuas aras banhar em sangue humano:
Canto 3, estrofe 120, verso 3;Naquelle engano da alma, ledo & cego,;Naquelle engano da alma, ledo & cego
Canto 3, estrofe 120, verso 4;Que a fortuna não deixa durar muito,;Que a fortuna nam deixa durar muito,
Canto 3, estrofe 120, verso 7;Aos montes insinando, & âs eruinhas;Aos montes infinando, & às eruinhas
Canto 3, estrofe 121, verso 1;Do teu Principe ali te respondião,;Do teu Principe ali te respondiam,
Canto 3, estrofe 121, verso 3;Que sempre ante seus olhos te trazião,;Que sempre ante seus olhos te traziam,
Canto 3, estrofe 121, verso 5;Denoite em doçes sonhos, que mentião,;Denoite em doçes sonhos, que mentiam,
Canto 3, estrofe 121, verso 6;De dia em pensamentos que voauão.;De dias em pensamentos que voauão.
Canto 3, estrofe 122, verso 2;Os desejados tâlamos engeita,;Os desejados tàlamos engeita,
Canto 3, estrofe 122, verso 7;O murmurar do pouo, & a fantasia;O murmurar do pouo & a fantasia
Canto 3, estrofe 122, verso 8;Do filho, que casarse não queria.;Do filho, que casar se nam queria.
Canto 3, estrofe 123, verso 3;Crendo co sangue sô da morte indina,;Crendo co sangue so da morte indina,
Canto 3, estrofe 123, verso 6;Que pode sustentar o grande peso;Que pode sustentar o grande pesO
Canto 3, estrofe 123, verso 8;Contra hũa fraca dama delicada?;Contra hũa fraca dama delicada
Canto 3, estrofe 124, verso 1;Trazião a os horrificos algozes,;Traziam aos horrificos algozes,
Canto 3, estrofe 124, verso 5;Ella com tristes & piedosas vozes,;Ella com tristes & piadosas vozes,
Canto 3, estrofe 124, verso 6;Saidas sô da magoa, & saudade;Saidas so da magoa, & saudade
Canto 3, estrofe 124, verso 7;Do seu Principe, & filhos que deixaua,;Do seu Principe, & filhos que deixaua
Canto 3, estrofe 125, verso 2;Com lagrimas os olhos piedosos,;Com lagrimas os olhos piadosos,
